date,state,daily,donations_new,donations_returning
2007-02-22,Malaysia,456,243,213
2007-02-23,Malaysia,418,232,186
2007-02-24,Malaysia,1418,1110,308
2007-02-25,Malaysia,385,250,135
2007-02-26,Malaysia,643,301,342
2007-02-27,Malaysia,668,413,255
2007-02-28,Malaysia,1582,1152,430
2007-03-01,Malaysia,886,432,454
2007-03-02,Malaysia,440,264,176
2007-03-03,Malaysia,273,150,123
2007-03-04,Malaysia,327,211,116
2007-03-05,Malaysia,705,376,329
2007-03-06,Malaysia,1327,564,763
2007-03-07,Malaysia,880,452,428
2007-03-08,Malaysia,994,516,478
2007-03-09,Malaysia,816,479,337
2007-03-10,Malaysia,573,353,220
2007-03-11,Malaysia,692,419,273
2007-03-12,Malaysia,628,306,322
2007-03-13,Malaysia,722,354,368
2007-03-14,Malaysia,823,505,318
2007-03-15,Malaysia,729,281,448
2007-03-16,Malaysia,316,134,182
2007-03-17,Malaysia,401,248,153
2007-03-18,Malaysia,792,461,331
2007-03-19,Malaysia,348,112,236
2007-03-20,Malaysia,401,274,127
2007-03-21,Malaysia,696,425,271
2007-03-22,Malaysia,1209,608,601
2007-03-23,Malaysia,762,249,513
2007-03-24,Malaysia,904,453,451
2007-03-25,Malaysia,1365,670,695
2007-03-26,Malaysia,522,187,335
2007-03-27,Malaysia,919,456,463
2007-03-28,Malaysia,1307,520,787
2007-03-29,Malaysia,1188,529,659
2007-03-30,Malaysia,805,345,460
2007-03-31,Malaysia,262,163,99
2007-04-01,Malaysia,557,386,171
2007-04-02,Malaysia,240,82,158
2007-04-03,Malaysia,706,347,359
2007-04-04,Malaysia,901,483,418
2007-04-05,Malaysia,982,442,540
2007-04-06,Malaysia,482,291,191
2007-04-07,Malaysia,855,655,200
2007-04-08,Malaysia,1176,617,559
2007-04-09,Malaysia,381,143,238
2007-04-10,Malaysia,821,632,189
2007-04-11,Malaysia,377,228,149
2007-04-12,Malaysia,506,264,242
2007-04-13,Malaysia,462,218,244
2007-04-14,Malaysia,581,300,281
2007-04-15,Malaysia,887,473,414
2007-04-16,Malaysia,330,124,206
2007-04-17,Malaysia,752,337,415
2007-04-18,Malaysia,855,341,514
2007-04-19,Malaysia,980,562,418
2007-04-20,Malaysia,306,199,107
2007-04-21,Malaysia,458,256,202
2007-04-22,Malaysia,1391,769,622
2007-04-23,Malaysia,498,305,193
2007-04-24,Malaysia,467,309,158
2007-04-25,Malaysia,1102,707,395
2007-04-26,Malaysia,47,36,11
